参数,设定值
仓库参数,
货架数 x 层数 x 列数,14 x 50 x 68 = 47600 库位
含双深总货位,95200 个
列宽,400 mm
层高 (L1-8 / L9-42 / L43-50),200 / 400 / 500 mm (比例 2:4:5)
货架总高度,19.20 m
,
货物统计,
原材料种类,2000 种
库存总箱数,65000 箱
E1箱 / E3箱 / E4箱,12259箱(680种) / 43171箱(1000种) / 9570箱(320种)
,
速度模型,
运动方式,"匀速直线, 顺序运动(先水平后垂直)"
空载水平 / 垂直速度,"v_xe = 3.0 m/s,  v_ze = 0.75 m/s"
满载水平 / 垂直速度,"v_xl = 2.3 m/s,  v_zl = 0.58 m/s"
固定操作时间 t0,6.0 s = 叉取3.0s + 放置3.0s
出库时间公式,T = x*0.4/v_xe + H(z)/v_ze + x*0.4/v_xl + H(z)/v_zl + t0
,
分配策略,
位置排序,按 D = x*400 + H(z) (物理距离和) 升序
填充方式,"同(x,z)填满14货架后移向下一个(x,z)"
材料优先级,消耗占比降序 (高消耗 -> 近距离)
层-箱型约束,L1-8: E1  |  L9-42: E1+E3  |  L43-50: E1+E3+E4
双深位规则,"偶数箱占深浅位, 奇数箱只占浅位"
,
分配结果,
实际分配,"65000 箱 (浅位32813, 深位32187, 差626)"
占用库位 (2箱位/1箱位),32813 个 (32187/626)
物理距离 min / mean / max,500 / 17616 / 34650 mm
货架负载范围,4628 - 4650 箱/货架
,
出库时间,
算术平均,37.11 s
加权平均 (消耗占比加权),25.41 s
随机打乱 (同填充顺序),39.76 s
相比随机提升,36.1%
,
约束验证 (8/8 通过),
箱数 / 层高 / 双深 / 均匀填充,OK
距离排序 / 消耗排序 / 列宽 / 层高比例,OK
